GameID,HomeTeam,HomeTeamID,AwayTeam,AwayTeamID,Date
22100341,LAL,1610612747,LAC,1610612746,20211203
22100342,NYK,1610612752,DEN,1610612743,20211204
22100343,BKN,1610612751,CHI,1610612741,20211204
22100344,MIL,1610612749,MIA,1610612748,20211204
22100345,DAL,1610612742,MEM,1610612763,20211204
22100346,GSW,1610612744,SAS,1610612759,20211204
22100347,POR,1610612757,BOS,1610612738,20211204
22100348,SAC,1610612758,LAC,1610612746,20211204
22100349,CLE,1610612739,UTA,1610612762,20211205
22100350,ATL,1610612737,CHA,1610612766,20211205
22100351,TOR,1610612761,WAS,1610612764,20211205
22100352,HOU,1610612745,NOP,1610612740,20211205
22100353,CHA,1610612766,PHI,1610612755,20211206
22100354,DET,1610612765,OKC,1610612760,20211206
22100355,IND,1610612754,WAS,1610612764,20211206
22100356,MIA,1610612748,MEM,1610612763,20211206
22100357,CHI,1610612741,DEN,1610612743,20211206
22100358,MIL,1610612749,CLE,1610612739,20211206
22100359,MIN,1610612750,ATL,1610612737,20211206
22100360,PHX,1610612756,SAS,1610612759,20211206
22100361,GSW,1610612744,ORL,1610612753,20211206
22100362,POR,1610612757,LAC,1610612746,20211206
22100363,DAL,1610612742,BKN,1610612751,20211207
22100364,SAS,1610612759,NYK,1610612752,20211207
22100365,LAL,1610612747,BOS,1610612738,20211207
22100366,CHA,1610612766,PHI,1610612755,20211208
22100367,CLE,1610612739,CHI,1610612741,20211208
22100368,DET,1610612765,WAS,1610612764,20211208
22100369,IND,1610612754,NYK,1610612752,20211208
22100370,MIA,1610612748,MIL,1610612749,20211208
22100371,TOR,1610612761,OKC,1610612760,20211208
22100372,HOU,1610612745,BKN,1610612751,20211208
22100373,MEM,1610612763,DAL,1610612742,20211208
22100374,MIN,1610612750,UTA,1610612762,20211208
22100375,NOP,1610612740,DEN,1610612743,20211208
22100376,GSW,1610612744,POR,1610612757,20211208
22100377,SAC,1610612758,ORL,1610612753,20211208
22100378,LAC,1610612746,BOS,1610612738,20211208
22100379,PHI,1610612755,UTA,1610612762,20211209
22100380,MEM,1610612763,LAL,1610612747,20211209
22100381,SAS,1610612759,DEN,1610612743,20211209
22100382,CHA,1610612766,SAC,1610612758,20211210
22100383,IND,1610612754,DAL,1610612742,20211210
22100384,ATL,1610612737,BKN,1610612751,20211210
22100385,TOR,1610612761,NYK,1610612752,20211210
22100386,HOU,1610612745,MIL,1610612749,20211210
22100387,MIN,1610612750,CLE,1610612739,20211210
22100388,NOP,1610612740,DET,1610612765,20211210
22100389,OKC,1610612760,LAL,1610612747,20211210
22100390,PHX,1610612756,BOS,1610612738,20211210
22100391,LAC,1610612746,ORL,1610612753,20211211
22100392,WAS,1610612764,UTA,1610612762,20211211
22100393,CLE,1610612739,SAC,1610612758,20211211
22100394,MIA,1610612748,CHI,1610612741,20211211
22100395,MEM,1610612763,HOU,1610612745,20211211
22100396,PHI,1610612755,GSW,1610612744,20211211
22100397,SAS,1610612759,DEN,1610612743,20211211
22100398,NYK,1610612752,MIL,1610612749,20211212
22100399,DET,1610612765,BKN,1610612751,20211212
22100400,OKC,1610612760,DAL,1610612742,20211212
22100401,SAS,1610612759,NOP,1610612740,20211212
22100402,POR,1610612757,MIN,1610612750,20211212
22100403,LAL,1610612747,ORL,1610612753,20211212
22100404,CLE,1610612739,MIA,1610612748,20211213
22100405,IND,1610612754,GSW,1610612744,20211213
22100406,TOR,1610612761,SAC,1610612758,20211213
22100407,ATL,1610612737,HOU,1610612745,20211213
22100408,BOS,1610612738,MIL,1610612749,20211213
22100409,MEM,1610612763,PHI,1610612755,20211213
22100410,DAL,1610612742,CHA,1610612766,20211213
22100411,DEN,1610612743,WAS,1610612764,20211213
22100412,LAC,1610612746,PHX,1610612756,20211213
22100413,BKN,1610612751,TOR,1610612761,20211214
22100414,NYK,1610612752,GSW,1610612744,20211214
22100415,CHI,1610612741,DET,1610612765,20220111
22100416,POR,1610612757,PHX,1610612756,20211214
22100417,CLE,1610612739,HOU,1610612745,20211215
22100418,ORL,1610612753,ATL,1610612737,20211215
22100419,PHI,1610612755,MIA,1610612748,20211215
22100420,DAL,1610612742,LAL,1610612747,20211215
22100421,MIL,1610612749,IND,1610612754,20211215
22100422,OKC,1610612760,NOP,1610612740,20211215
22100423,SAS,1610612759,CHA,1610612766,20211215
22100424,DEN,1610612743,MIN,1610612750,20211215
